Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Feb 1, 2022;Mar 1, 2022;15,181,924.50;15,271,892.50;89,968.00;11,019,129.25
Mar 1, 2022;Apr 1, 2022;15,840,592.25;15,951,473.75;110,881.50;13,227,603.50
Apr 1, 2022;May 1, 2022;14,608,642.75;14,711,116.75;102,474.00;11,382,362.25
May 1, 2022;Jun 1, 2022;14,651,473.00;14,889,736.00;238,263.00;11,783,974.50
Jun 1, 2022;Jul 1, 2022;13,616,967.25;13,947,080.50;330,113.25;11,005,235.00
Jul 1, 2022;Aug 1, 2022;13,811,030.75;14,182,037.50;371,006.75;11,229,155.75
Aug 1, 2022;Sep 1, 2022;13,534,616.25;13,808,477.00;273,860.75;11,153,121.50
Sep 1, 2022;Oct 1, 2022;13,493,775.75;13,869,727.00;375,951.25;11,260,590.25
Oct 1, 2022;Nov 1, 2022;13,639,446.00;14,032,068.00;392,622.00;11,116,425.00
Nov 1, 2022;Dec 1, 2022;13,738,302.25;14,129,951.25;391,649.00;11,079,732.50
Dec 1, 2022;Jan 1, 2023;14,203,686.75;14,571,734.50;368,047.75;11,862,897.75
Jan 1, 2023;Feb 1, 2023;14,668,910.50;14,989,753.75;320,843.25;11,247,638.25
Feb 1, 2023;Mar 1, 2023;13,011,188.75;13,292,975.75;281,787.00;10,279,160.75
Mar 1, 2023;Apr 1, 2023;14,272,452.50;14,647,407.00;374,954.50;10,677,360.75
Apr 1, 2023;May 1, 2023;13,095,290.75;13,453,448.25;358,157.50;10,099,607.50
May 1, 2023;Jun 1, 2023;13,053,577.75;13,415,912.50;362,334.75;10,111,944.75
Jun 1, 2023;Jul 1, 2023;12,725,109.00;13,023,488.75;298,379.75;9,697,105.50
Jul 1, 2023;Aug 1, 2023;12,801,658.00;13,033,658.50;232,000.50;9,307,720.50
Aug 1, 2023;Sep 1, 2023;12,975,604.00;13,323,194.50;347,590.50;10,308,931.50
Sep 1, 2023;Oct 1, 2023;12,813,680.50;13,200,464.25;386,783.75;10,186,083.25
Oct 1, 2023;Nov 1, 2023;13,842,487.00;14,226,837.25;384,350.25;10,444,609.50
Nov 1, 2023;Dec 1, 2023;14,544,375.75;14,853,247.25;308,871.50;10,768,773.25
Dec 1, 2023;Jan 1, 2024;14,223,600.75;14,428,786.00;205,185.25;10,377,455.50
Jan 1, 2024;Feb 1, 2024;15,796,541.75;15,958,265.00;161,723.25;12,391,661.50
Feb 1, 2024;Mar 1, 2024;14,384,171.50;14,554,434.75;170,263.25;10,830,996.00
Mar 1, 2024;Apr 1, 2024;14,531,069.75;14,775,585.75;244,516.00;11,574,216.75
Apr 1, 2024;May 1, 2024;13,673,711.75;13,967,521.25;293,809.50;10,064,629.50
May 1, 2024;Jun 1, 2024;12,967,877.50;13,245,153.50;277,276.00;10,152,504.50
Jun 1, 2024;Jul 1, 2024;12,834,894.25;13,113,219.50;278,325.25;9,822,651.75
Jul 1, 2024;Aug 1, 2024;13,190,788.00;13,465,497.00;274,709.00;10,097,037.00
Aug 1, 2024;Sep 1, 2024;13,468,325.50;13,755,195.75;286,870.25;10,487,067.50
Sep 1, 2024;Oct 1, 2024;13,079,869.20;13,361,910.95;282,041.75;9,935,535.95
Oct 1, 2024;Nov 1, 2024;13,137,848.75;13,393,344.00;255,495.25;10,772,466.75
Nov 1, 2024;Dec 1, 2024;14,742,242.00;14,940,610.50;198,368.50;12,242,649.75
Dec 1, 2024;Jan 1, 2025;14,603,686.75;14,815,341.25;211,654.50;11,459,291.75
Jan 1, 2025;Feb 1, 2025;15,866,702.75;16,067,238.25;200,535.50;12,922,634.75
Feb 1, 2025;Mar 1, 2025;14,494,225.75;14,655,955.00;161,729.25;12,199,412.75
Mar 1, 2025;Apr 1, 2025;14,707,710.00;14,944,391.25;236,681.25;11,801,991.00
Apr 1, 2025;May 1, 2025;13,363,423.00;13,593,268.50;229,845.50;9,982,314.00
May 1, 2025;Jun 1, 2025;13,258,012.25;13,508,302.75;250,290.50;9,198,208.50
Jun 1, 2025;Jul 1, 2025;12,721,772.50;12,976,436.25;254,663.75;8,560,611.50
Jul 1, 2025;Aug 1, 2025;13,391,444.00;13,602,215.25;210,771.25;10,236,631.00
Aug 1, 2025;Sep 1, 2025;13,044,362.00;13,275,431.00;231,069.00;9,721,220.00
Sep 1, 2025;Oct 1, 2025;13,182,953.25;13,402,992.50;220,039.25;9,616,965.40
Oct 1, 2025;Nov 1, 2025;14,546,751.71;14,764,478.10;217,726.39;10,973,225.06
Nov 1, 2025;Dec 1, 2025;14,968,861.56;15,148,594.75;179,698.32;12,287,313.06
Dec 1, 2025;Jan 1, 2026;15,276,499.59;15,425,465.76;148,966.17;12,098,540.53
