date,eeg_strike_hist,market_price_p50,markup_path,eeg_strike_p50
2029-06-01,,92.34496535287232,1.0841102731516556,100.1121256128826
2029-07-01,,103.90236434718705,1.08380241846291,112.60963376349576
2029-08-01,,111.3427272614282,1.083496042078728,120.63940430200874
2029-09-01,,111.55859596917023,1.083191136900357,120.83928239885309
2029-10-01,,97.9985828771267,1.0828876958631315,106.12145960966386
2029-11-01,,108.86854465064454,1.0825857119363111,117.8595309180881
2029-12-01,,109.21617527844654,1.082285178122916,118.20304771513712
2030-01-01,,99.75631511103268,1.0819860874595655,107.93494508636978
2030-02-01,,94.02457195250668,1.0816884330163177,101.70529190033696
2030-03-01,,94.93402742114436,1.081392207896507,102.66091751745884
2030-04-01,,86.27787626824926,1.0810974052365858,93.27478816292748
2030-05-01,,85.87512057658105,1.0808040182059646,92.81417538309051
2030-06-01,,96.50045642972472,1.0805120400068544,104.26990503847443
2030-07-01,,107.15281056015402,1.080221463874109,115.74876588151467
2030-08-01,,115.17914605613632,1.0799322830750673,124.38567816303993
2030-09-01,,115.02947614227352,1.0796444909093992,124.19094020919978
2030-10-01,,101.0528376912709,1.0793580807089487,109.07219694064307
2030-11-01,,112.57609800039654,1.0790730458375801,121.47783295779782
2030-12-01,,112.34195256442433,1.078789379691024,121.19330532025376
2031-01-01,,103.18653132904095,1.0785070756967248,111.28740415497242
2031-02-01,,97.23205720652768,1.0782261273136875,104.83814449253727
2031-03-01,,98.21625711773797,1.0779465280323273,105.871873356396
2031-04-01,,89.86921773926997,1.0776682713743173,96.8492045308412
2031-05-01,,89.3042962289473,1.07739135089244,96.21567635460416
2031-06-01,,98.72940883742521,1.0771157601704369,106.3430022511011
2031-07-01,,109.97610903153947,1.07684149282286,118.42683742437258
2031-08-01,,118.118082934662,1.0765685424949238,127.16221238726361
2031-09-01,,117.83237193445783,1.0762969028623588,126.82261696998249
2031-10-01,,103.3162348547198,1.0760265676312635,111.17101357130964
2031-11-01,,114.94114123748301,1.07575753053796,123.64879825484961
2031-12-01,,115.54421726547497,1.0754897853488483,124.26662542514637
2032-01-01,,105.52165774191275,1.075223325860262,113.45934778754769
2032-02-01,,99.44248545332007,1.0749581458983237,106.89650978642197
2032-03-01,,100.43569967606393,1.0746942393188033,107.9376678638193
2032-04-01,,92.04451919825553,1.0744316000069751,98.89554003405442
2032-05-01,,91.25248053068009,1.0741702218774758,98.02069725851067
2032-06-01,,100.78723159672094,1.0739100988741637,108.23642584928783
2032-07-01,,112.2564580669339,1.0736512249699783,120.5242837143546
2032-08-01,,120.26732804736875,1.0733935941668014,129.0941795136029
2032-09-01,,120.21046996745196,1.0731372004953168,129.00232721109774
2032-10-01,,105.96958012642779,1.0728820380148731,113.69285909362225
2032-11-01,,117.6181791882824,1.0726281008133456,126.16056416385112
2032-12-01,,117.81562336825485,1.072375383006999,126.34257423374065
2033-01-01,,108.64701750925195,1.072123878740352,116.48306182559014
2033-02-01,,102.22513207612283,1.0718735821860403,109.57241850787487
2033-03-01,,103.2735692856296,1.0716244875446836,110.6704857626232
2033-04-01,,94.96294370840803,1.0713765890447486,101.74107471596267
2033-05-01,,94.55952338656058,1.0711298809424172,101.28553102701835
2033-06-01,,104.19252817136777,1.0708843575214533,111.5781485893311
2033-07-01,,116.41467036155959,1.0706400130930693,124.6382042001255
2033-08-01,,124.6367560689084,1.070396841995795,133.41079009275978
2033-09-01,,124.26069399538653,1.0701548385953465,132.97818292637862
2033-10-01,,109.87384471220363,1.0699139972844955,117.55556439304972
2033-11-01,,121.78500362129765,1.0696743124829395,130.27029001934386
2033-12-01,,121.5915824507118,1.0694357786371715,130.03438865390282
2034-01-01,,112.15483213997001,1.0691983902203537,119.91576597948992
2034-02-01,,105.463604218114,1.0689621417321862,112.73660023979076
2034-03-01,,106.2513371121481,1.0687270276987828,113.55367570088741
2034-04-01,,97.79650911760386,1.0684930426725419,104.49488958982153
2034-05-01,,97.63827092995692,1.068260181232021,104.30307699881693
2034-06-01,,106.59491642161021,1.0680284379818112,113.84640208257407
2034-07-01,,118.1906754654006,1.0677978075524126,126.20374413509349
2034-08-01,,127.17763008043974,1.0675682846001089,135.77080438448226
2034-09-01,,126.57116511023554,1.067339863806844,135.09445013063237
2034-10-01,,112.05797353451834,1.0671125398800991,119.57846875223679
2034-11-01,,123.8795977045618,1.0668863075527701,132.16544657614256
2034-12-01,,124.34075304304417,1.0666611615830448,132.62945207300402
2035-01-01,,114.72844273875745,1.066437096754282,122.35066738946038
2035-02-01,,108.50801269836717,1.066214107874891,115.6927739564669
2035-03-01,,109.67771732639028,1.0659921897782105,116.91559006263435
2035-04-01,,100.98678922223266,1.0657713373223894,107.62882540127316
2035-05-01,,100.25998338331067,1.0655515453902678,106.83218023488925
2035-06-01,,110.10681082422752,1.0653328088892575,117.3003980532124
2035-07-01,,121.72770221281982,1.0651151227512254,129.6540164846322
2035-08-01,,131.47667183184237,1.064898481932375,140.00930824325
2035-09-01,,130.59260186214706,1.06468288141313,139.03970764182841
2035-10-01,,115.46062660717391,1.0644683161980175,122.90417879170643
2035-11-01,,127.9733510086416,1.0642547813155534,136.19625069192043
2035-12-01,,128.51702385297278,1.0640422718181257,136.74754602782141
2036-01-01,,119.017249616946,1.0638307827818811,126.6142138245422
2036-02-01,,112.25249576803924,1.0636203093066103,119.39403426924086
2036-03-01,,113.05852214530384,1.0634108465156344,120.22765874034415
2036-04-01,,104.12346618144484,1.0632023895556924,110.70431805293347
2036-05-01,,104.1032441830732,1.0629949335968278,110.66122113760025
2036-06-01,,114.28506036503032,1.0627884738322786,121.4608448871804
2036-07-01,,125.64795709651008,1.0625830054783632,133.5113838838261
2036-08-01,,134.3361503207837,1.062378523774372,142.7158410673263
2036-09-01,,134.1549839479861,1.0621750239824557,142.4960732923181
2036-10-01,,119.2627907176423,1.061972501387516,126.65380418087044
2036-11-01,,130.9297389503427,1.0617709512970965,139.01739347838588
2036-12-01,,131.18718445314568,1.0615703690412739,139.26442781341152
2037-01-01,,121.75745802041348,1.0613707499725487,129.22980453387737
2037-02-01,,115.40633821476587,1.0611720894657397,122.46598506095295
2037-03-01,,116.2412938669761,1.060974382917875,123.32903503009034
2037-04-01,,107.72217302740037,1.0607776257480859,114.26927094443026
2037-05-01,,107.08513423172877,1.060581813397501,113.5725458514017
2037-06-01,,117.21772843324149,1.0603869413291405,124.29614852287476
2037-07-01,,129.76202317078565,1.0601930050278108,137.57278928392364
2037-08-01,,137.9031715126378,1.06,146.17736180339608
2037-09-01,,138.08733910852607,1.0598079217737741,146.34605588387743
2037-10-01,,122.94318001544971,1.059616765898673,130.27265479726918
2037-11-01,,135.2473358329487,1.0594265279456077,143.2846154153944
2037-12-01,,136.03647324398187,1.0592372035067565,144.09489349387707
2038-01-01,,126.21824815132129,1.0590487881954656,133.67128275281138
2038-02-01,,119.03176818476229,1.0588612776461443,126.03813014059708
2038-03-01,,120.49442977565693,1.0586746675141658,127.5644003800526
2038-04-01,,111.8864785674549,1.0584889534757658,118.43060160695404
2038-05-01,,110.5978632196597,1.058304131227943,117.04617555034883
2038-06-01,,120.38170330177516,1.0581201964883584,127.3783115512776
2038-07-01,,132.49240449609076,1.0579371449952368,140.16863614614834
2038-08-01,,141.63516400993552,1.0577549725072677,149.8152990133917
2038-09-01,,141.43686809451054,1.0575736748035078,149.57990834341052
2038-10-01,,126.040808102933,1.0573932476832817,133.27469942058562
2038-11-01,,138.68940786147658,1.057213686966086,146.62434022837493
2038-12-01,,138.6977647693152,1.0570349884914916,146.60839018672868
2039-01-01,,128.24679320386468,1.056857148119048,135.53854012084975
2039-02-01,,121.55660804675705,1.056680161728187,128.44645624997708
2039-03-01,,122.28708949135913,1.0565040252181261,129.19680227983014
2039-04-01,,113.30624362378347,1.056328734507776,119.68864093894096
2039-05-01,,112.97799050644068,1.056154285535644,119.32218884458263
2039-06-01,,122.98749490877896,1.0559806742597404,129.8724177992888
2039-07-01,,134.8605208146862,1.0558078966574849,142.3868028234868
2039-08-01,,144.79022314399708,1.0556359487256137,152.84576457480668
2039-09-01,,143.9785592239257,1.0554648264800863,151.9643050281336
2039-10-01,,128.7665656416853,1.0552945259559938,135.88665184782366
2039-11-01,,140.89823430625734,1.0551250432074661,148.66525556024547
2039-12-01,,141.29206484059662,1.0549563743075812,149.0569644426675
2040-01-01,,131.3998466159781,1.054788515348274,138.59904912905847
2040-02-01,,124.49110242227394,1.0546214624402457,131.29098849737696
2040-03-01,,125.6866196972322,1.054455211712874,132.53091118232047
2040-04-01,,116.77215342038707,1.054289759314123,123.11168552417172
2040-05-01,,116.14681419920095,1.0541251014104538,122.43327229623384
2040-06-01,,126.48816112645065,1.0539612341867364,133.3136184108447
