date,mwh_gross_park,cr,mwh_delivered,p_market,cf,p_wind_merchant,eeg_on,strike_cod_fixed,p_wind_realised,revenue_eur,eeg_premium_eur,strike_source
2029-08-01,8629.15,0.0328935182676385,8345.306896840806,62.7870634303689,0.8661441807437796,54.3826496162046,1,51.14574865619333,54.3826496162046,453839.90091058926,0.0,from_series_asof
2029-09-01,9270.29,0.0328935182676385,8965.357546538695,63.62645827259104,0.8519624168225963,54.20735116377874,1,51.14574865619333,54.20735116377874,485988.2848340568,0.0,from_series_asof
2029-10-01,11077.11,0.0375429055473696,10661.243105532178,53.499584625872416,0.8038685839703603,43.00663533620252,1,51.14574865619333,51.14574865619333,545277.2602381228,86773.06576789709,from_series_asof
2029-11-01,12443.47,0.0375429055473696,11976.305981108471,62.79157282696548,0.8210334154177087,51.55397949757326,1,51.14574865619333,51.55397949757326,617426.2330067301,0.0,from_series_asof
2029-12-01,13100.05,0.0375429055473696,12608.23606018418,64.08625073875174,0.7375480458774061,47.26668899997582,1,51.14574865619333,51.14574865619333,644857.6725321332,48908.099837127214,from_series_asof
2030-01-01,13080.46,0.0381138375841428,12581.913472034123,55.611587660874505,0.7979512020637907,44.37533322267068,1,51.14574865619333,51.14574865619333,643511.38405463,85184.78115430629,from_series_asof
2030-02-01,10938.48,0.0381138375841428,10521.572549862605,50.59244158904281,0.8272686110189132,41.85353888142294,1,51.14574865619333,51.14574865619333,538133.705103176,97768.65929378905,from_series_asof
2030-03-01,11173.61,0.0381138375841428,10747.740843231448,50.94582749874303,0.8085229370518624,41.19087007982125,1,51.14574865619333,51.14574865619333,549701.251789819,106992.45506468388,from_series_asof
2030-04-01,10193.15,0.0343527127305833,9842.987646230255,43.97040779476527,0.8347432809543778,36.70400246750431,1,51.14574865619333,51.14574865619333,503426.97218010854,142149.92932525885,from_series_asof
2030-05-01,9550.01,0.0343527127305833,9221.941249895803,42.36871976466685,0.8509109606467676,36.052008036326356,1,51.14574865619333,51.14574865619333,471663.08928935206,139193.58923757906,from_series_asof
2030-06-01,8607.05,0.0343527127305833,8311.374483892232,49.5330088476656,0.8701595088938993,43.101618652921864,1,51.14574865619333,51.14574865619333,425091.47034065065,66857.77685430237,from_series_asof
2030-07-01,8102.7,0.0329270496392219,7835.901994888277,57.42015543615912,0.8431568165092219,48.41419546101662,1,51.14574865619333,51.14574865619333,400773.0739251197,21404.183131228616,from_series_asof
2030-08-01,8172.45,0.0329270496392219,7903.355333175941,65.42624345391704,0.8643632473566772,56.552040254176276,1,51.14574865619333,56.552040254176276,446950.8689448246,0.0,from_series_asof
2030-09-01,8813.16,0.0329270496392219,8522.968643201595,66.27300106892642,0.8502106434499773,56.34601088217297,1,51.14574865619333,56.34601088217297,480235.28391825606,0.0,from_series_asof
2030-10-01,10503.16,0.0375995681989517,10108.245719275497,56.043534108496544,0.8022156993446087,44.95900290859098,1,51.14574865619333,51.14574865619333,516993.7949131067,62537.146219447284,from_series_asof
2030-11-01,11345.78,0.0375995681989517,10919.183571119698,65.4278972243822,0.819345237105192,53.60803596460558,1,51.14574865619333,53.60803596460558,585355.9855847151,0.0,from_series_asof
2030-12-01,12300.27,0.0375995681989517,11837.78515926948,66.73476842458899,0.7360315270706096,49.118893512253734,1,51.14574865619333,51.14574865619333,605452.3844020123,23993.47574291711,from_series_asof
2031-01-01,13895.85,0.0381733406936193,13365.39898372257,58.174416030150326,0.7963104845382003,46.324897416695855,1,51.14574865619333,51.14574865619333,683583.3371112164,64432.60025705721,from_series_asof
2031-02-01,11851.1,0.0381733406936193,11398.703922105848,53.104327635604335,0.8255676121295594,43.84121295987164,1,51.14574865619333,51.14574865619333,582995.2458063908,83262.23969082418,from_series_asof
2031-03-01,12870.28,0.0381733406936193,12378.978416737726,53.46069420035994,0.8068604823187515,43.1353215075977,1,51.14574865619333,51.14574865619333,633132.1187229097,99160.90478131516,from_series_asof
