sim,project_year,revenue_eur,eeg_premium_eur,mwh_delivered,mwh_gross_park,avg_p_market,avg_p_realised,avg_cf,avg_cr
1367,1,11766055.483174149,2630190.878327075,127690.56030660373,144000.0,83.95273812783061,92.01165842402004,0.8510236854605653,0.1132599978708075
1367,2,10763199.246629927,2624801.8172276663,122696.27918498397,144000.0,80.04580553522705,87.3858796319181,0.8321864068748447,0.14794250565983358
1367,3,12555311.679684784,3103832.0430552512,129071.50995815513,144000.0,89.23191726562813,97.04868052985721,0.8239522161929552,0.10367006973503383
1367,4,11993630.434165306,2764860.2218862544,130382.74944497077,144000.0,84.82601080698397,91.94237783364794,0.8347546172986297,0.0945642399654807
1367,5,13560950.4769958,2933061.05816049,129171.43713632665,144000.0,97.10652405379192,104.90861083367561,0.845446122393778,0.1029761309977315
1367,6,17779617.848225303,4496182.435283412,129113.50510461324,144000.0,127.816675547935,137.66535190697235,0.808436768851454,0.10337843677351916
1367,7,13838194.708413197,3168660.958352479,129437.85450409699,144000.0,99.45115401080773,106.78424004158666,0.8291544439200601,0.10112601038821534
1367,8,13388776.528968982,3074623.146600766,124411.2775449158,144000.0,100.3025463148274,107.395603967003,0.8224240701408813,0.13603279482697364
1367,9,14058926.44242357,3177017.739815309,130031.3984383642,144000.0,101.32429700247572,108.20218229368682,0.8283926090542596,0.09700417751135977
1367,10,19965800.44110768,4959105.182764869,132235.66543535242,144000.0,141.72889784463246,150.95022954385433,0.7987395339549526,0.08169676781005257
1367,11,18271335.12424519,4191624.460085724,129954.88799737503,144000.0,132.32893630575998,140.62359423696233,0.8242662545652274,0.09753550001822893
1367,12,15732271.585206602,4014713.7294443245,133234.86112319693,144000.0,111.32598232275154,118.03226117223694,0.7837429773295174,0.07475790886668794
1367,13,14792537.988750372,3029312.9879350723,132157.55313958705,144000.0,105.684935421184,111.80609771062264,0.8423986747194644,0.0822392143084232
1367,14,17208079.90406099,4310543.23265565,131693.54577736364,144000.0,123.66247257729896,130.56918678434366,0.7922175537225625,0.08546148765719701
1367,15,18334996.36426958,3715070.9113066755,130920.4007643857,144000.0,132.91663536621812,140.07379691204167,0.8399251733742438,0.09083055024732146
1367,16,18985988.392087862,3972380.366356573,126748.23923051999,144000.0,142.6522064505934,150.0662382767235,0.8305892869655208,0.11980389423250004
1367,17,18449025.058912363,4292413.897267787,131405.15055185615,144000.0,133.7456865012409,140.45810124342293,0.8068993505795468,0.08746423227877675
1367,18,20280174.861303378,4799700.287868325,134658.3938768845,144000.0,143.59605434774255,150.55386922947378,0.8019967934490957,0.06487226474385765
1367,19,18066257.50540751,4256728.302817885,127098.28674646682,144000.0,135.58904225051776,141.94495029461177,0.7995523767545386,0.11737300870509149
1367,20,20109167.006826304,4146526.4468090255,132910.06450575567,144000.0,144.54760487017032,151.10243414906645,0.8290297326587589,0.07701344093225235
1367,21,20983521.23150666,5133577.135445926,133124.15671288397,144000.0,150.92621296976765,157.55958578774985,0.7883543462060604,0.07552668949386145
1367,22,19679717.49173426,4956606.026489601,132993.34446259463,144000.0,141.4961334739272,147.51954368990303,0.779653127981479,0.07643510789864855
1367,23,25370421.502711296,6576688.441087423,133112.88073579816,144000.0,182.36964715482816,189.896809853672,0.7815504131135097,0.07560499489029048
1367,24,24901500.620418865,6517466.379245223,126749.09326651684,144000.0,188.18695277989562,195.74851838232448,0.7686281958436227,0.1197979634269664
1367,25,22778042.775155302,5142245.962116588,133647.448134719,144000.0,163.6940173287085,170.0773248389793,0.8004139920320382,0.07189272128667368
1367,26,22356924.44380168,5830206.0273499405,128543.3191938709,144000.0,167.19705874667798,173.5396820362552,0.768136226525442,0.10733806115367422
1367,27,25942405.379224364,6876411.313516613,135538.54451683458,144000.0,184.57700807720366,191.39535241152814,0.7610971170615494,0.0587601075219821
1367,28,26290561.154763173,6792023.057165402,134280.42250110762,144000.0,189.04177771249746,195.8400084519853,0.7716690790526499,0.06749706596453049
1367,29,26381523.677597508,5898655.715109522,134244.94879064593,144000.0,189.91287978012522,196.57877918050926,0.804250273015689,0.06774341117607006
1367,30,26948470.960717104,5850657.38618578,134216.61144329837,144000.0,194.27813430802658,200.9287273013983,0.807940737476268,0.0679401983104279
1368,1,13261303.554494023,2972582.040110284,127743.79166303844,144000.0,94.82990585330042,103.94308870904722,0.8510236854605653,0.11289033567334417
1368,2,12856636.42374778,2796106.8561545904,129990.32989786468,144000.0,90.6283098660805,98.94617497827335,0.8555320186883888,0.09728937570927308
1368,3,13858262.224910865,2869475.830987675,130777.91078007579,144000.0,97.36157398951366,105.90535599771408,0.8598425576609355,0.09182006402725147
1368,4,16274491.445344977,4039663.198335694,129745.97156611858,144000.0,115.99918801360765,125.70327020282438,0.8243451676884131,0.098986308568621
1368,5,15657471.617578724,3395263.217090762,124451.08123512712,144000.0,116.23786514674028,125.59104736689135,0.8444707431490146,0.13575638031161721
1368,6,14928374.924643185,3390774.630355738,129018.02338847356,144000.0,107.24751034249259,115.49623024184899,0.8353061997445628,0.10404150424671138
1368,7,18374068.552615937,4120950.4955342473,125011.91998293748,144000.0,138.46507180288845,148.6702767346591,0.8307622500575276,0.13186166678515643
1368,8,17437501.452201772,3715617.5173276756,129568.50192670857,144000.0,125.60306445616197,134.4968831423062,0.8419193186066827,0.10021873662007934
1368,9,19744783.07078214,4860517.956509029,129816.42012196309,144000.0,142.79467179475253,152.4691616876465,0.8150966814922181,0.09849708248636739
1368,10,18790609.882554233,4684989.544058431,129869.60022322799,144000.0,135.9307506915685,144.80200271532897,0.8007595356606229,0.0981277762275834
1368,11,16095059.880567959,3783025.8182551265,130452.17120918632,144000.0,115.91452729547608,123.17891219441111,0.8168228070783409,0.09408214438065061
1368,12,16748663.224288467,3646170.19089397,132256.2462184374,144000.0,119.51966400924964,126.71776454715986,0.8302433049085951,0.08155384570529597
1368,13,18915392.516751442,4424357.049363897,131414.52996213135,144000.0,136.11227665650358,144.00942573206692,0.8118288613797624,0.08739909748519899
1368,14,19864784.6466815,4060108.6741805705,132020.73014804607,144000.0,142.5298206759348,150.4916646616554,0.8403663594553022,0.08318937397190217
1368,15,26648031.49301072,5625470.252422429,133966.48070173143,144000.0,188.65674486655243,198.8222047083378,0.829653115160614,0.06967721734908734
1368,16,19107631.497927085,4930855.609563405,132875.6864547508,144000.0,136.63591208751023,143.73720292460607,0.7797576797099279,0.07725217739756392
1368,17,19166913.908855796,4931975.360567773,131902.43376366742,144000.0,138.19677359670771,145.13027263132253,0.7856441963330442,0.08401087664119848
1368,18,19261855.25428242,4230247.190221737,133679.77897212494,144000.0,137.41924080423874,144.0789459678556,0.8166837079133505,0.07166820158246567
1368,19,23189809.109897535,5646613.118854741,132811.8330962706,144000.0,166.5521293944765,174.3543598059811,0.7973235612912881,0.07769560349812088
1368,20,23212016.953794446,5280238.191606747,133392.29436075935,144000.0,166.73824808242554,174.30669139527262,0.8078492349154699,0.07366462249472683
1368,21,26309184.331641328,5503620.700319797,134824.53535587306,144000.0,186.77637581275633,194.98227656953998,0.8245935620502252,0.06371850447310375
1368,22,21171985.51248192,5649132.410054992,132878.14209454737,144000.0,153.0822919644473,159.60413255748566,0.7625813934259691,0.07723512434342113
1368,23,22361448.131676488,5692112.415013604,133199.63327542855,144000.0,160.72821774411895,167.36474854974708,0.7860097934901001,0.0750025466984129
1368,24,29748020.721577987,6327331.33426692,134953.1111071829,144000.0,211.74803197058444,220.24854128029992,0.8139771706041974,0.06282561731122993
1368,25,25922252.175153814,6425938.421589785,133514.1510031695,144000.0,186.77188445904196,194.05669149675722,0.7808517489052753,0.07281839581132292
1368,26,26100136.916747186,6896015.2952249935,127142.98919526124,144000.0,195.2722712238087,202.6746724693202,0.7700293279338218,0.117062575032908
1368,27,26898607.434324883,6749237.082898525,136028.9073876589,144000.0,190.65683667712355,197.69988827745408,0.7751292652115455,0.05535480980792431
1368,28,25612962.348367907,6518705.649088528,134060.38049076012,144000.0,184.558255741975,191.19801108098875,0.7728458026091046,0.06902513548083253
1368,29,22365860.09174829,5635330.246946796,127707.11506215105,144000.0,168.59795417335786,174.51375802607518,0.7749271949445685,0.11314503429061777
1368,30,31004397.892969206,6734836.412734892,136131.67368140217,144000.0,220.746404620376,228.30159215539607,0.8074785092653779,0.054641154990262626
1369,1,12691468.643588314,3012909.8645445034,129685.36032963285,144000.0,89.25815523957662,97.82908313406767,0.8348541833945465,0.09940721993310518
1369,2,14282262.03375882,3629660.6149719423,127833.78291486915,144000.0,102.47386235465625,111.88093200430536,0.8153505705079086,0.11226539642451967
1369,3,15745884.161098199,3860782.564417433,128152.83241505262,144000.0,112.91951597450047,122.82846607978257,0.8188126262228478,0.1100497748954679
1369,4,16540184.115186336,4221275.150812801,128044.82492498028,144000.0,119.5799131477694,129.5943568415117,0.8147634748960767,0.11079982690985916
1369,5,15433055.254600858,3801888.5792091293,128313.9878759053,144000.0,111.25360823513405,120.20236188810617,0.8140146552008041,0.10893063975065768
1369,6,12712991.321140675,2860339.188925326,124189.92130970948,144000.0,95.40811495563396,102.74627003094605,0.8312542963119697,0.13756999090479538
1369,7,15340066.731303928,3845886.460994735,129437.85450409699,144000.0,110.07151684631873,118.18362480729884,0.8074179178091011,0.10112601038821534
1369,8,17466441.4542342,4447251.806881108,124411.2775449158,144000.0,129.57800264010362,138.7220859890484,0.8025244222300624,0.13603279482697364
1369,9,23489037.89532078,5219859.452253075,131972.9671049586,144000.0,166.91431317914132,178.26285937082878,0.8333914216687567,0.08352106177112077
1369,10,16727678.11905187,4160792.155050121,130079.11845235692,144000.0,120.7890432598714,128.6701928940873,0.7985785269314672,0.09667278852529919
1369,11,15368142.373612855,3522879.618270759,130452.17120918632,144000.0,110.94103589124035,117.89602983514317,0.8188778849514238,0.09408214438065061
1369,12,20276313.683106795,4430209.286658326,132256.2462184374,144000.0,144.7213070174457,153.4296744506538,0.8288499337091816,0.08155384570529597
1369,13,17589891.9888197,4180143.0683082337,126030.10591535625,144000.0,131.99014723154616,139.65234835015005,0.8061273201905877,0.12479093114335933
1369,14,18575475.237107754,4698022.203178253,131748.47132150465,144000.0,133.31762705944865,140.7624299082073,0.7921893028557507,0.08508006026732885
1369,15,20183018.693323255,4829034.756131412,133027.22569377557,144000.0,144.09921263605148,151.86027127641697,0.8033406840940591,0.07619982157100309
1369,16,17631285.79817778,4282154.989709727,131771.5989737776,144000.0,127.23966915483788,133.85177979937836,0.8002451749468055,0.08491945157098875
1369,17,18774079.135338984,4181493.0784660783,133492.77540459504,144000.0,134.27403411057236,140.99624154943623,0.8156673262531958,0.07296683746809
1369,18,25813136.972532906,6206873.340906137,132228.57317635487,144000.0,186.32236549865624,195.36604256182406,0.7943962700286543,0.08174601960864684
1369,19,18683638.82100867,4510574.92751109,131853.70963258803,144000.0,135.53044080773086,141.88149934875833,0.7953050942990064,0.08434923866258325
1369,20,23269167.363091912,5008650.821476296,135098.69518268,144000.0,164.75195187105007,172.2244356202029,0.8184434651424249,0.06181461678694445
1369,21,22272471.145840295,5903022.252025948,134623.83204910404,144000.0,158.46724087400526,165.4278643050363,0.7654904240467859,0.0651122774367776
1369,22,24135020.153867252,5738498.423356428,133081.05334532788,144000.0,173.83381488296718,181.24126333498018,0.7994411837933022,0.07582601843522307
1369,23,21525676.943698987,4966467.665938206,133540.5992473877,144000.0,154.58230949669863,160.97042668821132,0.796406265344309,0.07263472744869658
1369,24,21126017.18255569,5214035.079506596,133402.12936305895,144000.0,152.0599247889577,158.16202731111588,0.7851474313764409,0.07359632386764613
1369,25,22934754.998370573,5516791.054801403,134061.74379467117,144000.0,164.55844370605664,170.97612406561038,0.787535369300206,0.06901566809256128
1369,26,21563359.033452686,5326901.9035326615,134619.22111876617,144000.0,154.14416767473898,159.98757819101263,0.7812057340221262,0.0651442977863459
1369,27,28603167.989368364,6393379.834544624,129608.17284347024,144000.0,213.19298839171708,221.0722739166038,0.8034392969905625,0.09994324414256774
1369,28,25021313.80727368,6147273.608111831,134080.1011426677,144000.0,180.17189912500476,186.65493775476497,0.7794418237631283,0.06888818650925217
1369,29,28467422.927242562,7148175.43954391,129107.44506076071,144000.0,213.4059887579339,220.89818991895774,0.7736970420481963,0.103420520411384
1369,30,26029210.903717753,6613551.541494526,134882.29801243372,144000.0,186.5344958707099,192.92234148386999,0.7722823253446963,0.0633173749136548
1370,1,13777672.867927577,3255005.6450741915,129484.65702286383,144000.0,97.09259822512347,106.42522694739654,0.8371922880066162,0.10080099289677902
1370,2,14648306.450041655,3699677.6139255287,128036.69416564968,144000.0,104.73318383354199,114.34395938913276,0.8150475920203689,0.11085629051632162
1370,3,14778268.92125587,3907069.5475371713,129799.29587531624,144000.0,104.71418469305668,113.89686882898691,0.8017168725331257,0.09861600086585948
1370,4,16661246.00395895,3845897.6435141056,128646.9477790918,144000.0,119.67288474740148,129.70172063277485,0.8334270717437439,0.10661841820075145
1370,5,14848561.287363928,3556421.6342260335,130381.45290849145,144000.0,105.43619446604066,113.92068099478551,0.820769672265325,0.0945732436910316
1370,6,13367462.90385427,3237813.360766037,129218.34474691348,144000.0,96.08222690678487,103.47544450340064,0.8184116084978855,0.10265038370198971
1370,7,18513941.48549637,4511089.209707387,131920.90656106136,144000.0,130.62710942375716,140.26368807090387,0.81410638927147,0.0838825933259628
1370,8,17230469.848943032,4174442.313203281,130867.84707217528,144000.0,122.9713691279876,131.67088179300708,0.8123458724751171,0.09119550644322723
