sim,revenue_total_eur,eeg_premium_total_eur,mwh_delivered_total,mwh_gross_park_total,avg_p_market,avg_p_realised
487,596776467.3329723,141704367.70124462,3938635.278423347,4320000.0,143.5375834404248,151.20112011239385
488,615249804.2569475,145314469.06803837,3922124.229724717,4320000.0,148.25972794270922,156.1394884820307
489,583988880.5247941,136130225.26680708,3941999.1024352172,4320000.0,140.17801905594104,147.72715954287213
490,577769670.5327785,137980730.00410166,3940627.308843302,4320000.0,138.82752448521657,146.2413129926222
491,610092252.2088584,142218944.9399363,3914074.7743128934,4320000.0,147.4491757516901,155.49274407794366
492,586318821.0893714,138229094.16902402,3918662.7654526667,4320000.0,141.50645095058755,149.06664409883314
493,586153217.9859862,136709317.46057338,3931815.995048006,4320000.0,140.9312150297068,148.4963644147177
494,599336901.2735171,142449332.6086815,3959497.6713107117,4320000.0,143.33169552284963,151.01375496445652
495,571259244.0708457,133739012.34197153,3932137.004788191,4320000.0,137.68443886151655,144.99613948242148
496,627393558.3364125,147939733.51280448,3911497.98643048,4320000.0,151.8168747189005,160.0301664800375
497,573854007.1291016,136555853.84645247,3932796.761821811,4320000.0,138.15564179437627,145.47010642939182
498,585377031.0625857,137025041.0543558,3928676.9005203587,4320000.0,140.9432013108047,148.6080892344454
499,551308258.9957163,133330940.62475568,3924372.571532955,4320000.0,132.91580193567737,140.11886695267745
500,588772368.9723064,139331037.42834955,3938505.3510594256,4320000.0,141.58975235078162,149.2066211589612
501,576135820.6931287,138670145.8234306,3917437.10008063,4320000.0,139.2786288697036,146.64953693265454
502,569431333.6767437,132348573.2417733,3941982.8263585577,4320000.0,136.74627341031837,144.09356819157662
503,605125146.8383124,142787865.183426,3919055.577174794,4320000.0,145.72799727746823,153.50488914007173
504,592737240.2194251,140754791.71547183,3923250.4784990335,4320000.0,143.26381512910217,150.94874253567954
505,592396063.510418,142788286.26092276,3934613.104901206,4320000.0,142.51025665214618,150.14451920464055
506,580883586.1473738,136042170.4305524,3933421.0348997246,4320000.0,139.6334534203299,147.11631847493837
507,597078827.820304,137631963.79566896,3925020.55956294,4320000.0,143.82941278633888,151.48973798235414
508,631998769.0879815,145315245.59926653,3920050.598602209,4320000.0,152.36687597490427,160.47572102881605
509,558776367.2930428,133189709.01226874,3931585.203584119,4320000.0,134.48627097062683,141.71555974153426
510,584387954.6414574,139359102.30138594,3932488.1941123204,4320000.0,140.65294679787272,148.24427367410854
511,584275605.8290094,137609890.42089903,3930901.014258638,4320000.0,140.70809514900228,148.34324213810632
512,586186707.6016076,140580586.49371442,3928809.075733902,4320000.0,140.9863851313741,148.53799196834277
513,597085106.1389872,138393882.7746879,3927199.301798045,4320000.0,143.85177557283728,151.5658404965271
514,586471679.856827,136895010.1136047,3943430.190824813,4320000.0,140.70752262879154,148.2618058721736
515,558494956.0223764,132226294.93720597,3901910.4519541324,4320000.0,135.32716790196127,142.5122363782553
516,586652974.1710598,138891095.4282415,3913211.7455407437,4320000.0,141.85690152017006,149.48195210701402
517,585843504.5144349,138477139.35774192,3943179.172630348,4320000.0,140.7928559482929,148.2539843961179
518,604911602.9996114,142097480.0919108,3952558.050453008,4320000.0,144.8622061301056,152.68985954338413
519,623487328.881691,148982063.51409087,3916018.5100773023,4320000.0,150.59740613586627,158.67316727011257
520,601196897.9045677,139641092.63212803,3935764.755560307,4320000.0,144.481348687089,152.17277589001742
521,602305173.047699,145240615.53619182,3920073.3179138023,4320000.0,145.21154665583586,153.02968316712335
522,581384098.8039505,136849605.6427724,3923453.4679805865,4320000.0,140.18986180761667,147.60101480644232
523,574851702.9569854,136363478.11427394,3940561.2756614625,4320000.0,137.99834822287693,145.42845787190603
