month,market_price_eur_mwh,wind_capture_price_eur_mwh,wind_mwh,capture_factor,capture_factor_pred,merchant_price_pred_eur_mwh,strike_eur_mwh,eeg_supported_price_pred_eur_mwh,premium_pred_eur_mwh
2020-08-01,34.86395161290322,30.120956073156957,5156488.25,0.8639570295298692,0.872194602128585,30.408150405646364,60.84980371630464,60.84980371630464,30.44165331065828
2020-09-01,43.690194444444444,38.06809029726468,4632294.25,0.8713188572706236,0.8705560730645503,38.03476410698219,61.91446287646964,61.91446287646964,23.879698769487455
2020-10-01,34.01510752688172,30.13626273951589,10816688.5,0.8859669990959038,0.8009528435271481,27.244497096537614,61.14088042135379,61.14088042135379,33.89638332481618
2020-11-01,38.78570833333333,32.17629850139585,8665897.5,0.8295916172231614,0.8472805829807248,32.862377567987025,61.14088042135379,61.14088042135379,28.278502853366767
2020-12-01,43.51974462365591,33.82754291605212,9073761.0,0.7772918524357464,0.7775105672605964,33.837061329375,59.82482879318216,59.82482879318216,25.98776746380716
2021-01-01,52.806223118279576,46.67237808231476,9223364.5,0.8838423830800066,0.8441914381434881,44.57856143714634,59.82482879318216,59.82482879318216,15.246267356035816
2021-02-01,48.70494047619048,43.99724796778153,8487553.25,0.9033426083189586,0.8970241260986573,43.68950666734189,59.96789092932666,59.96789092932666,16.27838426198477
2021-03-01,47.16483176312248,35.066354560122726,9086611.25,0.743485203895938,0.8262302603119814,38.969011225215496,59.96789092932666,59.96789092932666,20.99887970411116
2021-04-01,53.61313888888889,45.03283291810275,7735461.0,0.8399588953639053,0.856039171723228,45.89494700792683,59.96789092932666,59.96789092932666,14.072943921399826
2021-05-01,53.34893817204301,43.2099765450448,8828518.25,0.809950076338887,0.8576051675695546,45.752325060692755,58.775423415045765,58.775423415045765,13.02309835435301
2021-06-01,74.07995833333334,64.08109620107905,3361513.75,0.8650260832050826,0.8855105675070658,65.5985859446498,58.775423415045765,65.5985859446498,0.0
2021-07-01,81.36924731182796,69.55297318883106,4704354.75,0.85478206431339,0.8723702640419543,70.98411176231444,58.775423415045765,70.98411176231444,0.0
2021-08-01,82.69688172043011,73.61794914743793,6191015.5,0.8902143299225604,0.8651862462875989,71.54820467538848,58.775423415045765,71.54820467538848,0.0
2021-09-01,128.37230555555556,118.51020674307271,4465397.5,0.9231758067302543,0.873779010025172,112.16902606298223,58.09116808491973,112.16902606298223,0.0
2021-10-01,139.59403225806452,112.07803186976236,10167443.25,0.8028855536070918,0.8082834466704966,112.83154552818087,58.09116808491973,112.83154552818087,0.0
2021-11-01,176.1513611111111,142.525527349242,7822972.75,0.8091082944249354,0.8562605552678302,150.83146227618406,58.09116808491973,150.83146227618406,0.0
2021-12-01,221.06038978494624,165.70965356484825,9782408.0,0.7496126000956357,0.7732773984110564,170.94100310463728,58.09116808491973,170.94100310463728,0.0
2022-01-01,167.72657258064518,132.33293273576504,12982727.75,0.7889801281913014,0.8139784559987475,136.52581657915542,58.09116808491973,136.52581657915542,0.0
2022-02-01,128.80267857142857,110.73097110736838,17728127.25,0.8596946300768242,0.8201333082434845,105.63536688740788,57.39408816697126,105.63536688740788,0.0
2022-03-01,252.00685060565274,206.1247451451416,6793504.0,0.8179331024127248,0.8475599457505367,213.59091262809065,57.39408816697126,213.59091262809065,0.0
2022-04-01,165.73190277777778,131.16367093887155,9550806.0,0.7914207750015567,0.8423813940087461,139.60947129366642,57.39408816697126,139.60947129366642,0.0
2022-05-01,177.4769489247312,140.44577765935426,6454706.0,0.7913465861919791,0.8796221345053613,156.11265263867105,58.46440558037364,156.11265263867105,0.0
2022-06-01,218.0332361111111,198.52359745596317,4412514.75,0.9105198867698973,0.8783619216770412,191.5120922600196,58.46440558037364,191.5120922600196,0.0
2022-07-01,315.0009946236559,283.1044670664004,5502496.0,0.8987415020852123,0.8673749646907676,273.22397658925024,58.46440558037364,273.22397658925024,0.0
2022-08-01,465.18350806451616,461.6979368378837,3527019.25,0.9925071049033212,0.8896744119595235,413.86186399056663,58.46440558037364,413.86186399056663,0.0
2022-09-01,346.11512500000003,288.664049865553,6189613.5,0.8340116597492033,0.8608972842970978,297.96957116665055,58.40856262780524,297.96957116665055,0.0
2022-10-01,152.67469086021507,129.27028628850724,8613400.25,0.8467040971896496,0.8233192818605545,125.70001683731442,58.40856262780524,125.70001683731442,0.0
2022-11-01,173.634375,138.85876317216963,10118516.25,0.7997193134836902,0.8385134207098087,145.5947537340597,58.40856262780524,145.5947537340597,0.0
2022-12-01,251.61639784946237,153.3294663970532,9410138.25,0.6093778772271731,0.7782492860306831,195.8202819799564,58.652745629155376,195.8202819799564,0.0
2023-01-01,117.82931451612903,89.87857827439915,14692525.75,0.7627862272091563,0.8012195135508587,94.40714605864405,58.652745629155376,94.40714605864405,0.0
2023-02-01,128.31184523809523,107.47797090726124,10445029.0,0.837630935069364,0.8839576158956695,113.42223280784077,73.44257057801043,113.42223280784077,0.0
2023-03-01,102.5214535666218,87.24408606678931,12133716.25,0.8509837017682864,0.8038844982362606,82.41540725885586,73.44257057801043,82.41540725885586,0.0
2023-04-01,100.74399999999999,91.23049409410271,8382426.5,0.9055675186026237,0.8541329297413329,86.04876787386083,73.44257057801043,86.04876787386083,0.0
2023-05-01,81.71538978494624,82.52411117857231,6771381.25,1.0098968064125304,0.8787269859918629,71.80551817487607,73.4212445680079,73.4212445680079,1.6157263931318369
2023-06-01,94.7561111111111,93.14519738753087,4872287.25,0.9829993685400273,0.8762481610300622,83.02986810747134,73.4212445680079,83.02986810747134,0.0
2023-07-01,77.6061559139785,62.12287927997126,8392192.75,0.8004890662131304,0.8445680378614273,65.54367882623683,73.4212445680079,73.4212445680079,7.877565741771079
2023-08-01,94.3218817204301,69.2293549846042,5778036.5,0.7339691885049526,0.8723064616870727,82.27758690321497,73.23959569784614,82.27758690321497,0.0
2023-09-01,100.72348611111111,88.46125851481806,5339625.25,0.878258506831602,0.8699374091504113,87.62312854809744,73.23959569784614,87.62312854809744,0.0
2023-10-01,87.49303763440861,70.71488649993339,11857250.75,0.8082344425554973,0.7974963917134867,69.77538181349317,73.23959569784614,73.23959569784614,3.464213884352972
2023-11-01,91.12227777777777,77.35268598961122,14477253.5,0.8488888543617532,0.8031961865344188,73.18906601944111,73.10216951872873,73.18906601944111,0.0
2023-12-01,68.51932795698924,46.49992766560022,16331164.75,0.6786395758987744,0.7211116690768885,49.41008694709122,73.10216951872873,73.10216951872873,23.692082571637506
2024-01-01,76.57114247311829,65.66342628244229,15593084.75,0.8575479503325244,0.7953520275375678,60.901013416862604,73.10216951872873,73.10216951872873,12.201156101866125
2024-02-01,61.335847701149426,54.08861635070765,14148354.0,0.8818434631285619,0.8542218539028816,52.39442153398066,73.35302733204787,73.35302733204787,20.95860579806721
2024-03-01,64.70199192462988,56.122486429471614,9393471.75,0.8673996697790639,0.8290219918484962,53.63937422192198,73.35302733204787,73.35302733204787,19.71365311012589
2024-04-01,62.360819444444445,50.60396006251923,9724048.5,0.81147041545214,0.844509363695551,52.66429594856092,73.35302733204787,73.35302733204787,20.688731383486953
2024-05-01,67.21001344086021,60.06262624532431,6274470.0,0.8936559177774147,0.884760317099993,59.46475280423027,73.26267336173912,73.26267336173912,13.797920557508846
2024-06-01,72.88772222222222,59.86891685541695,5693810.5,0.8213854820827964,0.8710537412282376,63.48912313127122,73.26267336173912,73.26267336173912,9.773550230467897
2024-07-01,67.69702956989246,53.90338257560721,5548569.25,0.7962444278290781,0.8705859041135781,58.93607969390846,73.26267336173912,73.26267336173912,14.326593667830657
2024-08-01,82.04717741935484,66.96080337876424,5204624.75,0.8161256180272725,0.8789912688893788,72.1187525886307,73.26267336173912,73.26267336173912,1.1439207731084196
2024-09-01,78.30997222222223,65.25998954459904,8986503.75,0.8333547783596332,0.8406823439550288,65.83381100283098,73.26267336173912,73.26267336173912,7.428862358908134
2024-10-01,86.10174731182795,69.77202217642042,8389045.5,0.8103438589199886,0.8288331784822831,71.36398489734073,73.26267336173912,73.26267336173912,1.89868846439839
2024-11-01,113.90644444444445,91.0836602418994,10300191.5,0.7996357070589065,0.8405695773361346,95.74629186252857,71.9,95.74629186252857,0.0
2024-12-01,108.31559139784946,73.53780163023332,13757540.0,0.678921664750227,0.7448302336109796,80.67672724457162,71.9,80.67672724457162,0.0
2025-01-01,114.14016129032258,87.02989625428845,13253343.0,0.7624826815595828,0.8170788510590619,93.26151184679279,71.9,93.26151184679279,0.0
