quarter,TSO,cr,prod_mwh,curt_mwh,wind_mwh,load_mwh,ExportStress,S,pred
2017Q4,Amprion,0.0033190713664527,5939718.25,19780.0,5939718.25,48399331.5,13162.5,0.12272314649635192,0.005235294333599799
2018Q1,Amprion,0.0031937154148919,6164270.0,19750.0,6164270.0,49396326.5,13954.0,0.12479207335387582,0.0062919631796568435
2018Q2,Amprion,0.002022288394415,3163266.5,6410.0,3163266.5,44875976.75,11149.099999999999,0.07048908411781811,0.004284131586536491
2018Q3,Amprion,0.0023598920785688,2629493.75,6220.0,2629493.75,45082888.0,12035.85,0.05832576098496618,0.006003407208644314
2018Q4,Amprion,0.0025768623378507,5898929.25,15240.0,5898929.25,47775896.25,13997.8,0.12347082342803774,0.006403523842364127
2019Q1,Amprion,0.0041595755699049,7141574.75,29830.0,7141574.75,49001900.5,14822.599999999999,0.14574077080949135,0.0067609308527949745
2019Q2,Amprion,0.0041158230009026,3460096.25,14300.0,3460096.25,44993354.75,11238.85,0.07690238412373551,0.0041754911222655535
2019Q3,Amprion,0.005497930961294,3008144.25,16630.0,3008144.25,44320704.25,9983.3,0.06787221234193272,0.0027118485535983176
2019Q4,Amprion,0.0046691044789049,6663814.0,31260.0,6663814.0,46701903.75,13357.300000000001,0.14268827317344637,0.004775969625063224
2020Q1,Amprion,0.0019656734446363,9139167.0,18000.0,9139167.0,47753225.5,8735.0,0.19138323965152887,0.0
2020Q2,Amprion,0.0056382216738738,3527217.75,20000.0,3527217.75,40334943.5,6855.549999999997,0.08744818869028538,0.0
2020Q3,Amprion,0.0043511012365285,3203576.25,14000.0,3203576.25,42046787.25,7683.65,0.07619074986519928,0.0
2020Q4,Amprion,0.001269702459116,6292688.75,8000.0,6292688.75,46653614.75,10940.1,0.134881054420333,0.001604007223342389
2015Q1,TransnetBW,0.0007189108500621,250198.75,180.0,250198.75,16204962.0,11682.3,0.015439638179959941,0.005330764913230686
2015Q2,TransnetBW,0.001023745783447,146370.75,150.0,146370.75,14619735.5,9883.55,0.010011860337692156,0.0031442659143486344
2015Q3,TransnetBW,0.0091172622995141,204322.25,1880.0,204322.25,15181426.5,9846.800000000001,0.013458699022782872,0.00284480069458961
2015Q4,TransnetBW,0.0022775368439033,315411.0,720.0,315411.0,15898638.0,11915.7,0.01983886921634419,0.005349858462091291
2016Q1,TransnetBW,0.0023259473104523,437511.0,1020.0,437511.0,16561702.5,11583.7,0.026417030495506123,0.004403437231611681
2016Q2,TransnetBW,0.0017322469861923,247802.5,430.0,247802.5,15184335.75,9030.85,0.01631961411285311,0.0014717391596033988
2016Q3,TransnetBW,0.0025801403215658,235811.25,610.0,235811.25,14788147.5,10452.0,0.01594596280568611,0.003533118451927241
2016Q4,TransnetBW,0.0071250296003067,473791.0,3400.0,473791.0,16394867.5,11948.6,0.02889873919383612,0.004748122222484537
2017Q1,TransnetBW,0.0017965299333364,650085.5,1170.0,650085.5,16717916.75,12203.599999999999,0.03888555671866233,0.00439797522107163
2017Q2,TransnetBW,0.0007084531402526,366736.75,260.0,366736.75,14767430.25,10443.85,0.024834161651110558,0.0028849066315503762
2017Q3,TransnetBW,0.0014176682356437,366279.5,520.0,366279.5,14905072.0,10399.400000000001,0.024574151671323693,0.002839889907536256
2017Q4,TransnetBW,0.0026319699446012,822307.5,2170.0,822307.5,16309483.25,13162.5,0.05041897939960789,0.004944818821168027
2018Q1,TransnetBW,0.0022925799425964,896491.0,2060.0,896491.0,17132219.25,13954.0,0.05232778001017002,0.005941284572378824
2018Q2,TransnetBW,0.002477138509512,479203.0,1190.0,479203.0,14902698.0,11149.099999999999,0.03215545265696185,0.003370265896144273
2018Q3,TransnetBW,0.0010633322101288,347592.75,370.0,347592.75,15014554.25,12035.85,0.02315038756478568,0.0052847136622470575
2018Q4,TransnetBW,0.003949896422553,811991.25,3220.0,811991.25,16273930.75,13997.8,0.049895213545750154,0.006178204218990595
2019Q1,TransnetBW,0.0026300548618635,1107323.0,2920.0,1107323.0,16814394.75,14822.599999999999,0.06585565620790483,0.006216012027182519
2019Q2,TransnetBW,0.0013681578577072,576628.75,790.0,576628.75,14813625.25,11238.85,0.03892556617766471,0.0030139050279147732
2019Q3,TransnetBW,0.0013535094869534,413179.25,560.0,413179.25,14646364.75,9983.3,0.028210361892018292,0.0019837580264993413
2019Q4,TransnetBW,0.0007175833586439,1002647.75,720.0,1002647.75,15861844.75,13357.300000000001,0.063211295142704,0.004307564613343136
2020Q1,TransnetBW,0.0007300217236214,1368822.25,1000.0,1368822.25,16240195.5,8735.0,0.08428606970895147,0.0
2020Q2,TransnetBW,0.0088177200902934,562040.0,5000.0,562040.0,13183231.0,6855.549999999997,0.04263294787142848,0.0
2020Q3,TransnetBW,0.0164432344311932,418707.0,7000.0,418707.0,14156968.75,7683.65,0.029576034770861525,0.0
2020Q4,TransnetBW,0.0,776930.25,0.0,776930.25,15843822.25,10940.1,0.04903679413596047,0.0018620601991696153
