date,market_price,markup_path,eeg_strike_eur_mwh,eeg_strike_used
2030-05-01,42.36871976466685,1.1188065295846923,47.402400322853275,47.402400322853275
2030-06-01,49.5330088476656,1.1183320650111384,55.39435207082486,55.39435207082486
2030-07-01,57.42015543615912,1.1178598787954268,64.18768799627941,64.18768799627941
2030-08-01,65.42624345391704,1.1173899599969843,73.10662755572531,73.10662755572531
2030-09-01,66.27300106892642,1.1169222977277735,74.02179263122049,74.02179263122049
2030-10-01,56.043534108496544,1.1164568811520414,62.570189299510105,62.570189299510105
2030-11-01,65.4278972243822,1.1159936994860673,73.0171210730325,73.0171210730325
2030-12-01,66.73476842458899,1.115532741997914,74.44481920727756,74.44481920727756
2031-01-01,58.174416030150326,1.1150739980071775,64.86877866447256,64.86877866447256
2031-02-01,53.104327635604335,1.114617456884742,59.19101061877143,59.19101061877143
