date,wind_onshore_eur_mwh_calc,wind_onshore_mwh_sum,hours_used
2020-07-01,21.781228919400714,5480898.5,744.0
2020-08-01,30.120956073156957,5156488.25,744.0
2020-09-01,38.06809029726469,4632294.25,720.0
2020-10-01,30.13626273951589,10816688.5,744.0
2020-11-01,32.17629850139585,8665897.5,720.0
2020-12-01,33.82754291605212,9073761.0,744.0
2021-01-01,46.67237808231476,9223364.5,744.0
2021-02-01,43.99724796778153,8487553.25,672.0
2021-03-01,35.066354560122726,9086611.25,743.0
2021-04-01,45.03283291810275,7735461.0,720.0
2021-05-01,43.2099765450448,8828518.25,744.0
2021-06-01,64.08109620107905,3361513.75,720.0
2021-07-01,69.55297318883106,4704354.75,744.0
2021-08-01,73.61794914743793,6191015.5,744.0
2021-09-01,118.51020674307271,4465397.5,720.0
2021-10-01,112.07803186976236,10167443.25,744.0
2021-11-01,142.52552734924203,7822972.75,720.0
2021-12-01,165.70965356484825,9782408.0,744.0
2022-01-01,132.332932735765,12982727.75,744.0
2022-02-01,110.73097110736839,17728127.25,672.0
2022-03-01,206.1247451451416,6793504.0,743.0
2022-04-01,131.16367093887155,9550806.0,720.0
2022-05-01,140.44577765935426,6454706.0,744.0
2022-06-01,198.52359745596317,4412514.75,720.0
2022-07-01,283.10446706640045,5502496.0,744.0
2022-08-01,461.6979368378837,3527019.25,744.0
2022-09-01,288.664049865553,6189613.5,720.0
2022-10-01,129.27028628850724,8613400.25,744.0
2022-11-01,138.85876317216963,10118516.25,720.0
2022-12-01,153.3294663970532,9410138.25,744.0
2023-01-01,89.87857827439915,14692525.75,744.0
2023-02-01,107.47797090726127,10445029.0,672.0
2023-03-01,87.24408606678931,12133716.25,743.0
2023-04-01,91.23049409410271,8382426.5,720.0
2023-05-01,82.52411117857231,6771381.25,744.0
2023-06-01,93.14519738753089,4872287.25,720.0
2023-07-01,62.12287927997126,8392192.75,744.0
2023-08-01,69.2293549846042,5778036.5,744.0
2023-09-01,88.46125851481806,5339625.25,720.0
2023-10-01,70.71488649993339,11857250.75,744.0
2023-11-01,77.35268598961122,14477253.5,720.0
2023-12-01,46.49992766560022,16331164.75,744.0
2024-01-01,65.66342628244229,15593084.75,744.0
2024-02-01,54.08861635070765,14148354.0,696.0
2024-03-01,56.122486429471614,9393471.75,743.0
2024-04-01,50.60396006251923,9724048.5,720.0
2024-05-01,60.06262624532431,6274470.0,744.0
2024-06-01,59.86891685541695,5693810.5,720.0
2024-07-01,53.90338257560721,5548569.25,744.0
2024-08-01,66.96080337876424,5204624.75,744.0
2024-09-01,65.25998954459904,8986503.75,720.0
2024-10-01,69.77202217642042,8389045.5,744.0
2024-11-01,91.0836602418994,10300191.5,720.0
2024-12-01,73.53780163023332,13757540.0,744.0
2025-01-01,87.02989625428845,13253343.0,744.0
2025-02-01,116.18345749101522,7260679.75,672.0
2025-03-01,80.15638902297033,6526920.5,743.0
2025-04-01,77.5922316952408,5876514.75,720.0
2025-05-01,65.52935721298434,7894329.5,744.0
2025-06-01,56.93965257472982,8705267.75,720.0
2025-07-01,82.99608221490976,6193497.28,744.0
2025-08-01,70.6828803499261,5483354.49,744.0
2025-09-01,66.24162889681395,9763607.04,720.0
2025-10-01,59.0294924146687,13717685.620000001,744.0
2025-11-01,89.51923844056333,9908591.42,720.0
2025-12-01,83.72602012726502,12331010.68,744.0
