quarter,TSO,curtailment_rate,production_mwh,curtailed_mwh,wind_mwh,load_mwh,proxy_wind_share,cr_from_mwh,cr_identity_gap,cr_pred_raw,cr_pred,curtailed_mwh_model,curtailed_mwh_error
2016Q3,50Hertz,0.0187841365942015,4313682.75,82580.0,4313682.75,24777801.25,0.17409465458522072,0.018784136594201518,-1.734723475976807e-17,0.031252944642071664,0.031252944642071664,134815.28818920947,52235.288189209474
2016Q4,50Hertz,0.0968420425852169,7401934.0,793680.0,7401934.0,26914620.75,0.27501535573374186,0.09684204258521692,-1.3877787807814457e-17,0.0342089117641678,0.0342089117641678,253212.10709019363,-540467.8929098063
2017Q1,50Hertz,0.0411283144968888,7744028.0,332160.0,7744028.0,27238363.0,0.28430592543318406,0.041128314496888876,-7.632783294297951e-17,0.03448103253091394,0.03448103253091394,267022.08138830843,-65137.918611691566
2017Q2,50Hertz,0.0284762181729487,6627914.0,194270.0,6627914.0,24527231.0,0.27022675327679674,0.028476218172948722,-2.0816681711721685e-17,0.03406865360838381,0.03406865360838381,225804.10621215758,31534.10621215758
2017Q3,50Hertz,0.0201390713718262,5215786.25,107200.0,5215786.25,24427152.25,0.21352412252639888,0.020139071371826293,-9.367506770274758e-17,0.03240783367424694,0.03240783367424694,169032.33327042416,61832.33327042416
2017Q4,50Hertz,0.0281611496407486,11688162.75,338690.0,11688162.75,26779404.75,0.43646088698069363,0.028161149640748697,-9.71445146547012e-17,0.038937651031179195,0.038937651031179195,455109.60235512775,116419.60235512775
2018Q1,50Hertz,0.0274868340907332,9202966.0,260110.0,9202966.0,28720650.5,0.3204302771624201,0.027486834090733287,-8.673617379884035e-17,0.035539114716267674,0.035539114716267674,327065.2644039111,66955.26440391107
2018Q2,50Hertz,0.0247401960946966,6392749.75,162170.0,6392749.75,25513063.75,0.25056770181119464,0.02474019609469666,-5.898059818321144e-17,0.03349284003274887,0.03349284003274887,214111.34474614533,51941.34474614533
2018Q3,50Hertz,0.0188436313953283,5251611.5,100860.0,5251611.5,25758644.25,0.20387763614538837,0.018843631395328308,-6.938893903907228e-18,0.032125288108654296,0.032125288108654296,168709.53247222214,67849.53247222214
2018Q4,50Hertz,0.0119330231761218,10264847.5,123970.0,10264847.5,26973891.75,0.3805475159141617,0.011933023176121825,-2.42861286636753e-17,0.0372999485115049,0.0372999485115049,382878.2832284498,258908.2832284498
2019Q1,50Hertz,0.0377211955274262,12866117.0,504350.0,12866117.0,25875406.5,0.4972334251058046,0.03772119552742623,-2.7755575615628914e-17,0.040717678543669325,0.040717678543669325,523878.4161112392,19528.416111239174
2019Q2,50Hertz,0.028003505063692,6566750.0,189190.0,6566750.0,22857378.0,0.2872923569798776,0.028003505063692098,-9.71445146547012e-17,0.03456850510456783,0.03456850510456783,227002.73089542083,37812.73089542083
2019Q3,50Hertz,0.0188959178092466,5820917.5,112110.0,5820917.5,25058070.5,0.2322971156139097,0.01889591780924663,-3.122502256758253e-17,0.032957694601871236,0.032957694601871236,191844.0212676878,79734.02126768781
2019Q4,50Hertz,0.020015040696809,9827738.25,200720.0,9827738.25,26823687.0,0.3663828261193176,0.020015040696809004,-3.469446951953614e-18,0.03688506477752617,0.03688506477752617,362496.7619678217,161776.7619678217
2020Q1,50Hertz,0.03622689605066,14179825.5,533000.0,14179825.5,27810841.75,0.5098668219921823,0.03622689605066002,-2.0816681711721685e-17,0.0410877107116144,0.0410877107116144,582616.568085173,49616.56808517303
2020Q2,50Hertz,0.0260927879611273,6307885.5,169000.0,6307885.5,23600771.25,0.2672745493433822,0.026092787961127305,-6.938893903907228e-18,0.033982183561450094,0.033982183561450094,214355.7229456094,45355.72294560939
2020Q3,50Hertz,0.023614342558073,5044351.75,122000.0,5044351.75,24425860.25,0.20651685133587055,0.023614342558073015,-1.3877787807814457e-17,0.032202590715972895,0.032202590715972895,162441.1948326516,40441.194832651614
2020Q4,50Hertz,0.0165224698231933,9523782.25,160000.0,9523782.25,27302974.0,0.34881849317953423,0.01652246982319331,-1.0408340855860843e-17,0.03637060550305936,0.03637060550305936,346385.72711178905,186385.72711178905
2021Q1,50Hertz,0.0292120891889681,8706889.5,262000.0,8706889.5,28587729.5,0.30456736691873343,0.029212089188968154,-5.204170427930421e-17,0.03507449010895254,0.03507449010895254,305389.70964749274,43389.70964749274
2021Q2,50Hertz,0.0488648648504312,7124044.25,366000.0,7124044.25,25544126.75,0.27889167321016367,0.04886486485043129,-9.020562075079397e-17,0.034322449094811656,0.034322449094811656,244514.6461198107,-121485.3538801893
2021Q3,50Hertz,0.0330468203778484,5413118.0,185000.0,5413118.0,25362696.5,0.21342833164446848,0.03304682037784841,-6.938893903907228e-18,0.03240502795951884,0.03240502795951884,175412.2401381747,-9587.759861825296
2021Q4,50Hertz,0.0348167249809927,9813527.25,354000.0,9813527.25,29059290.0,0.3377070551276373,0.034816724980992794,-9.71445146547012e-17,0.036045151506140745,0.036045151506140745,353730.07653589075,-269.923464109248
2022Q1,50Hertz,0.0674665311149868,13366032.75,967000.0,13366032.75,29267008.5,0.4566928235935012,0.06746653111498681,-1.3877787807814457e-17,0.03953024441155791,0.03953024441155791,528362.5414203876,-438637.45857961243
2022Q2,50Hertz,0.0745123655174176,6806484.0,548000.0,6806484.0,24846370.25,0.2739427904967326,0.07451236551741768,-6.938893903907228e-17,0.03417749633065593,0.03417749633065593,232628.58193466827,-315371.41806533176
2015Q1,Amprion,0.0045541750385832,3597806.0,16460.0,3597806.0,47908492.75,0.07509745753794352,0.0045541750385832145,-1.474514954580286e-17,0.00422686852586204,0.00422686852586204,15207.4529435576,-1252.5470564423995
2015Q2,Amprion,0.0043909375926906,2244743.75,9900.0,2244743.75,43195487.75,0.051967088854089856,0.0043909375926906415,-4.163336342344337e-17,0.0044511136020657475,0.0044511136020657475,9991.609438777074,91.60943877707359
2015Q3,Amprion,0.0047131825244258,2436911.75,11540.0,2436911.75,44782534.0,0.054416566735593835,0.004713182524425895,-9.454242944073599e-17,0.0044273663215228035,0.0044273663215228035,10789.101010473198,-750.8989895268023
2015Q4,Amprion,0.0006524281568595,3967195.75,2590.0,3967195.75,46709934.75,0.08493259027727501,0.0006524281568595988,-9.877081791342945e-17,0.004131518550219648,0.004131518550219648,16390.54283347755,13800.54283347755
2016Q1,Amprion,0.002492969903268,4453424.5,11130.0,4453424.5,47315799.0,0.09412129973753587,0.002492969903268064,-6.375108774214766e-17,0.004042435540722776,0.004042435540722776,18002.68147672556,6872.68147672556
2016Q2,Amprion,0.0009612773559822,2255243.0,2170.0,2255243.0,43738849.5,0.05156155284788641,0.0009612773559822682,-6.819631664933823e-17,0.004455045206177094,0.004455045206177094,10047.209515914448,7877.209515914448
2016Q3,Amprion,0.0041423434427569,1781432.5,7410.0,1781432.5,43869578.75,0.04060746765205718,0.004142343442756978,-7.806255641895632e-17,0.004561243239725746,0.004561243239725746,8125.546947652734,715.5469476527342
2016Q4,Amprion,0.0126927748680535,3131623.25,40260.0,3131623.25,47729967.75,0.06561125845302923,0.012692774868053544,-4.5102810375396984e-17,0.004318835647776749,0.004318835647776749,13524.966127506477,-26735.03387249352
2017Q1,Amprion,0.001289273869082,4415393.25,5700.0,4415393.25,49689733.75,0.08885926562244863,0.001289273869082042,-4.206704429243757e-17,0.004093450086026931,0.004093450086026931,18074.19187905523,12374.19187905523
2017Q2,Amprion,0.0002922243157286,2531561.25,740.0,2531561.25,44880098.5,0.056407212430694645,0.00029222431572862825,-2.824346659324739e-17,0.004408067342691394,0.004408067342691394,11159.292472148005,10419.292472148005
2017Q3,Amprion,0.0043465064388055,2636593.75,11510.0,2636593.75,45007872.75,0.05858072352464159,0.004346506438805504,-4.336808689942018e-18,0.004386995514241376,0.004386995514241376,11566.724954126848,56.72495412684839
2017Q4,Amprion,0.0033190713664527,5939718.25,19780.0,5939718.25,48399331.5,0.12272314649635192,0.0033190713664527044,-4.336808689942018e-18,0.0037651453948689996,0.0037651453948689996,22363.902815806854,2583.902815806854
2018Q1,Amprion,0.0031937154148919,6164270.0,19750.0,6164270.0,49396326.5,0.12479207335387582,0.0031937154148919313,-3.122502256758253e-17,0.0037450874931914853,0.0037450874931914853,23085.73048165548,3335.730481655479
2018Q2,Amprion,0.002022288394415,3163266.5,6410.0,3163266.5,44875976.75,0.07048908411781811,0.002022288394415014,-1.3877787807814457e-17,0.004271545939477695,0.004271545939477695,13512.03817356082,7102.038173560821
2018Q3,Amprion,0.0023598920785688,2629493.75,6220.0,2629493.75,45082888.0,0.05832576098496618,0.002359892078568851,-5.074066167232161e-17,0.004389467333645557,0.004389467333645557,11542.076919650157,5322.076919650157
2018Q4,Amprion,0.0025768623378507,5898929.25,15240.0,5898929.25,47775896.25,0.12347082342803774,0.002576862337850747,-4.683753385137379e-17,0.0037578967914068916,0.0037578967914068916,22167.56730131126,6927.567301311261
2019Q1,Amprion,0.0041595755699049,7141574.75,29830.0,7141574.75,49001900.5,0.14574077080949135,0.004159575569904906,-6.071532165918825e-18,0.0035419933565821494,0.0035419933565821494,25295.410320034825,-4534.589679965175
2019Q2,Amprion,0.0041158230009026,3460096.25,14300.0,3460096.25,44993354.75,0.07690238412373551,0.004115823000902675,-7.45931094670027e-17,0.004209370062897393,0.004209370062897393,14564.825569493532,264.8255694935324
2019Q3,Amprion,0.005497930961294,3008144.25,16630.0,3008144.25,44320704.25,0.06787221234193272,0.005497930961294054,-5.377642775528102e-17,0.004296916075977441,0.004296916075977441,12925.743386684102,-3704.256613315898
2019Q4,Amprion,0.0046691044789049,6663814.0,31260.0,6663814.0,46701903.75,0.14268827317344637,0.004669104478904939,-3.8163916471489756e-17,0.0035715868133213147,0.0035715868133213147,23800.390208825964,-7459.609791174036
2020Q1,Amprion,0.0019656734446363,9139167.0,18000.0,9139167.0,47753225.5,0.19138323965152887,0.001965673444636316,-1.6046192152785466e-17,0.0030994972146701286,0.0030994972146701286,28326.822660905156,10326.822660905156
2020Q2,Amprion,0.0056382216738738,3527217.75,20000.0,3527217.75,40334943.5,0.08744818869028538,0.005638221673873841,-4.0766001685454967e-17,0.004107130242124189,0.004107130242124189,14486.742691582238,-5513.257308417762
2020Q3,Amprion,0.0043511012365285,3203576.25,14000.0,3203576.25,42046787.25,0.07619074986519928,0.004351101236528583,-8.239936510889834e-17,0.004216269238639717,0.004216269238639717,13507.13999651178,-492.8600034882202
2020Q4,Amprion,0.001269702459116,6292688.75,8000.0,6292688.75,46653614.75,0.134881054420333,0.0012697024591160767,-7.676151381197371e-17,0.003647276500250214,0.003647276500250214,22951.175801263897,14951.175801263897
2021Q1,Amprion,0.0045535835353213,5902396.0,27000.0,5902396.0,48389105.25,0.12197778755167207,0.004553583535321305,-4.336808689942018e-18,0.003772371525832728,0.003772371525832728,22266.030604588992,-4733.969395411008
2021Q2,Amprion,0.0066567936554839,4029006.75,27000.0,4029006.75,44794745.75,0.0899437351980059,0.006656793655483931,-3.122502256758253e-17,0.004082936333914485,0.004082936333914485,16450.178049161714,-10549.821950838286
2021Q3,Amprion,0.0115114295375664,2919586.25,34000.0,2919586.25,44284039.75,0.06592863402892235,0.011511429537566408,-8.673617379884035e-18,0.004315758744370058,0.004315758744370058,12600.229888380087,-21399.770111619913
2021Q4,Amprion,0.0021196948398987,5649192.25,12000.0,5649192.25,47265282.0,0.1195209678427392,0.0021196948398987865,-8.630249292984615e-17,0.0037961899841711354,0.0037961899841711354,21445.4070381072,9445.407038107202
2022Q1,Amprion,0.006943418185353,7437106.75,52000.0,7437106.75,47673863.25,0.15599966612733027,0.006943418185353013,-1.3010426069826053e-17,0.00344253507324227,0.00344253507324227,25602.50083032183,-26397.49916967817
2022Q2,Amprion,0.0041015406351694,4127784.0,17000.0,4127784.0,42877083.0,0.09627016837875842,0.004101540635169408,-8.673617379884035e-18,0.004021602616752176,0.004021602616752176,16600.306935787765,-399.6930642122352
2015Q1,TransnetBW,0.0007189108500621,250198.75,180.0,250198.75,16204962.0,0.015439638179959941,0.0007189108500621559,-5.583641188300348e-17,0.003580710479910449,0.003580710479910449,895.8892861854945,715.8892861854945
2015Q2,TransnetBW,0.001023745783447,146370.75,150.0,146370.75,14619735.5,0.010011860337692156,0.0010237457834470544,-5.442694905877232e-17,0.0037697446120731823,0.0037697446120731823,551.7803461776108,401.7803461776108
2015Q3,TransnetBW,0.0091172622995141,204322.25,1880.0,204322.25,15181426.5,0.013458699022782872,0.00911726229951419,-9.020562075079397e-17,0.003649700981240119,0.003649700981240119,745.7151163141889,-1134.284883685811
2015Q4,TransnetBW,0.0022775368439033,315411.0,720.0,315411.0,15898638.0,0.01983886921634419,0.0022775368439033185,-1.8648277366750676e-17,0.0034274977204142333,0.0034274977204142333,1081.0704834935736,361.07048349357365
2016Q1,TransnetBW,0.0023259473104523,437511.0,1020.0,437511.0,16561702.5,0.026417030495506123,0.002325947310452397,-9.71445146547012e-17,0.003198398990737171,0.003198398990737171,1399.3347408364104,379.33474083641045
2016Q2,TransnetBW,0.0017322469861923,247802.5,430.0,247802.5,15184335.75,0.01631961411285311,0.0017322469861923801,-8.023096076392733e-17,0.003550063410035338,0.003550063410035338,879.7145881652818,449.71458816528184
