iter,objective_agg,mean_objective,worst_objective,p90_objective,score_used,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,n_estimators
12,worst,45575.97378107766,74658.36375774445,66517.89294205123,74658.36375774445,0.018828329419274065,129,8,181,0.8550229885420852,0.9548850970305306,0.007742116473996248,0.022844556850020535,0.14264895744459902,8000
15,worst,45090.603706203015,75081.35079343154,66638.93372862077,75081.35079343154,0.011615972385557838,217,7,95,0.9521871356061031,0.8497416192535173,0.0015224209209544581,0.02072443882055656,0.09130691409658205,8000
26,worst,46005.65126955627,75096.96032309823,66930.22484051189,75096.96032309823,0.0197295112613119,78,-1,140,0.942529716751237,0.761803250848876,0.355697157862675,3.570962966813226,0.1871269988441895,8000
9,worst,45831.6043161133,75243.97144200919,67345.26704968553,75243.97144200919,0.01695573166272088,83,7,33,0.7427013306774357,0.7123738038749523,0.014817820606039088,0.02647114182821816,0.16043939615080793,8000
1,worst,46538.79199925152,76209.25577105362,68012.19984956586,76209.25577105362,0.047114752817713206,45,10,116,0.9118764001091078,0.8387400631785948,0.006071989493441302,0.01994916615063394,0.09184977839317343,8000
10,worst,46510.19883604575,76259.45860161862,67585.11267356822,76259.45860161862,0.010308946758814675,39,-1,97,0.7579526072702278,0.7173952698872152,0.00011384639705304651,0.039493644472223324,0.14226839054973,8000
2,worst,45544.18406242637,76699.32591523812,68231.20436306421,76699.32591523812,0.032210770850941366,182,7,140,0.608233797718321,0.9879639408647978,0.21368329072358744,0.04335281794951567,0.03636499344142013,8000
14,worst,46322.085555018144,77785.81925919374,69009.65461594763,77785.81925919374,0.03450080203770142,82,12,105,0.878206434570451,0.6557325817623503,0.02616191420516961,0.4164120360093466,0.04061224494695388,8000
21,worst,46392.561743954524,78735.76817454842,69471.98336847244,78735.76817454842,0.011703856481421871,214,6,132,0.6968639753109703,0.9212559025519583,0.007606809457649335,8.918040138190563,0.07976488848891061,8000
30,worst,47066.38748218392,79426.87740418107,71276.0050198279,79426.87740418107,0.06718316133441712,81,8,191,0.9624395150874216,0.7737577462041715,0.0025137010744766468,0.8616087209074258,0.13378481193261993,8000
8,worst,46785.8663732279,79525.23629168146,70676.38718365638,79525.23629168146,0.060690063409340335,125,8,57,0.7306163075223342,0.8281775897621597,0.012115379992469585,7.647439907543508,0.1689067697356303,8000
28,worst,48815.29378008424,80109.31536671112,72867.3825223378,80109.31536671112,0.02393108362260587,219,8,178,0.6703701010709381,0.6072301454462083,0.009453113247448207,0.034392846996850426,0.07329375691657199,8000
16,worst,47689.46256860982,84375.36289860545,73312.01174305612,84375.36289860545,0.014377056884866356,60,6,199,0.8157368967662603,0.922976062065625,0.38403004190988527,0.08995191735587167,0.022010384905535352,8000
5,worst,49235.975118943825,89293.20147388856,76814.43691512817,89293.20147388856,0.03757738613229096,103,5,176,0.6053059844639466,0.9768807022739411,0.01791236257104366,0.14330109455635687,0.003193250444042839,8000
4,worst,48703.73824076969,89547.49978205247,76904.13558379316,89547.49978205247,0.02039913141169976,220,6,199,0.9140703845572055,0.6798695128633439,0.011400863701127324,0.59874749104614,0.009290082543999545,8000
27,worst,49594.14064936737,90661.28004595342,77754.03060902937,90661.28004595342,0.05746010080641315,114,6,121,0.6405886171464128,0.8654007076432223,0.00010477226564098288,0.03036855685244965,0.10974675787331722,8000
11,worst,50920.724409892064,97305.01754207838,82506.84907137176,97305.01754207838,0.04485378100408849,35,5,50,0.9659838702175123,0.9400154311159197,0.00627773091695805,0.019329933033819656,0.07416365043965327,8000
6,worst,54122.852307058856,101249.83572525396,86055.00674134583,101249.83572525396,0.03786552560911777,141,4,197,0.6488152939379115,0.798070764044508,0.00013726318898045882,5.345166110646819,0.05175599632000338,8000
20,worst,54807.569376755535,104262.38263317998,87787.8320907048,104262.38263317998,0.022251873089069008,117,4,138,0.695824756266789,0.6579579488364892,0.00907425628898386,9.056311714376344,0.04841105430230008,8000
23,worst,56489.62650818314,112667.4790488075,93932.98923549504,112667.4790488075,0.027087494732481666,177,4,157,0.8580691161637799,0.6697465716019966,0.058043147174140663,0.1446125682015214,0.18734599774734692,8000
